,Attributes,numPoss,%TIME,%TIMERANK,PTS,PPP,PPPRANK,PPPRATING,FGATT,FGMADE,FGMISS,FG%,EFG%,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FGATT,2 FGMADE,2 FGMISS,2FG%,3FGATT,3 FGMADE,3 FGMISS,3FG%,3PA/FGA,year,ID,special_year
25,Transition,357,0.177,45%,367,1.028,0.28,Below Average,245,127,118,0.518,0.582,0.62,296,0.16,0.176,0.47,0.115,0.496,158,96,62,0.608,87,31,56,0.356,0.36,17,def,
26,Overall Half Court,1658,0.823,55%,1358,0.819,0.82,Very Good,1160,475,685,0.409,0.47,0.51,1332,0.187,0.133,0.34,0.078,0.381,742,335,407,0.451,418,140,278,0.335,0.36,17,def,
27,Out of Bounds (End),157,0.095,91%,132,0.841,0.51,Good,120,51,69,0.425,0.5,0.518,127,0.185,0.064,0.14,0.045,0.369,73,33,40,0.452,47,18,29,0.383,0.39,17,def,
28,Out of Bounds (Side),100,0.06,88%,68,0.68,0.82,Very Good,74,24,50,0.324,0.399,0.431,79,0.21,0.06,0.15,0.03,0.29,41,13,28,0.317,33,11,22,0.333,0.45,17,def,
29,After Time Outs,203,0.122,43%,156,0.768,0.82,Very Good,151,58,93,0.384,0.44,0.471,166,0.172,0.099,0.22,0.044,0.345,92,41,51,0.446,59,17,42,0.288,0.39,17,def,
30,Last 4 Sec. of Shot Clock,123,0.074,99%,65,0.528,0.88,Excellent,97,25,72,0.258,0.294,0.316,103,0.163,0.057,0.13,0.024,0.252,61,18,43,0.295,36,7,29,0.194,0.37,17,def,
31,Man Defense,1516,0.914,50%,1240,0.818,0.79,Very Good,1058,432,626,0.408,0.466,0.508,1220,0.185,0.137,0.35,0.081,0.383,695,309,386,0.445,363,123,240,0.339,0.34,17,def,
32,Zone Defense,142,0.086,43%,118,0.831,0.76,Very Good,102,43,59,0.422,0.505,0.53,111,0.211,0.085,0.21,0.049,0.366,47,26,21,0.553,55,17,38,0.309,0.54,17,def,
33,Press,450,0.223,87%,379,0.842,0.62,Good,310,133,177,0.429,0.487,0.529,358,0.187,0.14,0.35,0.06,0.396,186,97,89,0.522,124,36,88,0.29,0.4,17,def,
34,To Transition,81,0.18,26%,78,0.963,0.38,Average,61,28,33,0.459,0.508,0.548,71,0.123,0.173,0.38,0.111,0.457,34,22,12,0.647,27,6,21,0.222,0.44,17,def,
35,To Half Court,369,0.82,66%,301,0.816,0.62,Good,249,105,144,0.422,0.482,0.524,287,0.201,0.133,0.35,0.049,0.382,152,75,77,0.493,97,30,67,0.309,0.39,17,def,
36,All Possessions,2088,1.0,-,1831,0.877,0.59,Good,1421,628,793,0.442,0.502,0.546,1677,0.19,0.154,0.41,0.097,0.41,906,458,448,0.506,515,170,345,0.33,0.36,18,def,
37,Transition,330,0.158,25%,319,0.967,0.6,Good,233,118,115,0.506,0.558,0.594,269,0.182,0.136,0.35,0.112,0.458,152,94,58,0.618,81,24,57,0.296,0.35,18,def,
38,Overall Half Court,1758,0.842,76%,1512,0.86,0.54,Good,1188,510,678,0.429,0.491,0.537,1408,0.191,0.158,0.42,0.094,0.401,754,364,390,0.483,434,146,288,0.336,0.37,18,def,
39,Out of Bounds (End),130,0.074,22%,115,0.885,0.34,Average,91,42,49,0.462,0.549,0.581,99,0.246,0.085,0.2,0.085,0.377,51,26,25,0.51,40,16,24,0.4,0.44,18,def,
40,Out of Bounds (Side),93,0.053,76%,60,0.645,0.89,Excellent,64,23,41,0.359,0.398,0.436,69,0.258,0.065,0.17,0.054,0.301,39,18,21,0.462,25,5,20,0.2,0.39,18,def,
41,After Time Outs,219,0.125,48%,198,0.904,0.3,Below Average,156,75,81,0.481,0.542,0.575,172,0.215,0.091,0.24,0.059,0.411,108,56,52,0.519,48,19,29,0.396,0.31,18,def,
42,Last 4 Sec. of Shot Clock,72,0.041,43%,46,0.639,0.65,Very Good,56,15,41,0.268,0.33,0.381,60,0.153,0.083,0.18,0.056,0.264,27,8,19,0.296,29,7,22,0.241,0.52,18,def,
43,Man Defense,1623,0.923,54%,1389,0.856,0.54,Good,1080,470,610,0.435,0.492,0.539,1289,0.197,0.162,0.44,0.095,0.403,713,347,366,0.487,367,123,244,0.335,0.34,18,def,
44,Zone Defense,135,0.077,38%,123,0.911,0.51,Average,108,40,68,0.37,0.477,0.515,119,0.119,0.104,0.24,0.081,0.378,41,17,24,0.415,67,23,44,0.343,0.62,18,def,
45,Press,331,0.159,81%,300,0.906,0.41,Average,197,93,104,0.472,0.546,0.589,255,0.215,0.208,0.66,0.091,0.435,126,64,62,0.508,71,29,42,0.408,0.36,18,def,
46,To Transition,47,0.142,9%,40,0.851,0.64,Good,28,12,16,0.429,0.464,0.55,36,0.234,0.213,0.68,0.17,0.404,18,10,8,0.556,10,2,8,0.2,0.36,18,def,
47,To Half Court,284,0.858,78%,260,0.915,0.36,Average,169,81,88,0.479,0.559,0.596,218,0.211,0.208,0.66,0.077,0.44,108,54,54,0.5,61,27,34,0.443,0.36,18,def,
48,All Possessions,2149,1.0,-,1885,0.877,0.59,Good,1475,645,830,0.437,0.491,0.536,1758,0.173,0.166,0.44,0.106,0.418,983,486,497,0.494,492,159,333,0.323,0.33,19,def,
49,Transition,318,0.148,17%,294,0.925,0.75,Very Good,218,98,120,0.45,0.507,0.558,263,0.173,0.182,0.47,0.164,0.434,145,73,72,0.503,73,25,48,0.342,0.33,19,def,
50,Overall Half Court,1831,0.852,83%,1591,0.869,0.47,Average,1257,547,710,0.435,0.488,0.532,1495,0.173,0.163,0.43,0.096,0.416,838,413,425,0.493,419,134,285,0.32,0.33,19,def,
51,Out of Bounds (End),157,0.086,74%,147,0.936,0.17,Below Average,116,49,67,0.422,0.478,0.548,134,0.14,0.134,0.35,0.108,0.433,71,36,35,0.507,45,13,32,0.289,0.39,19,def,
52,Out of Bounds (Side),81,0.044,36%,51,0.63,0.95,Excellent,54,19,35,0.352,0.37,0.409,62,0.222,0.136,0.35,0.062,0.309,40,17,23,0.425,14,2,12,0.143,0.26,19,def,
53,After Time Outs,229,0.125,42%,182,0.795,0.72,Very Good,168,66,102,0.393,0.435,0.473,192,0.166,0.14,0.33,0.083,0.371,113,52,61,0.46,55,14,41,0.255,0.33,19,def,
54,Last 4 Sec. of Shot Clock,99,0.054,76%,67,0.677,0.6,Good,78,27,51,0.346,0.372,0.402,83,0.162,0.071,0.15,0.061,0.313,49,23,26,0.469,29,4,25,0.138,0.37,19,def,
