Rank,Title,URL,Score,Genres,Episodes,Premiered,Studio,Type,Source
1359,Kindaichi Shounen no Jikenbo Returns 2nd Season,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season,7.66,"Mystery, Shounen",22,Fall 2015,Toei Animation,TV,Manga
1360,Kitarou Tanjou: Gegege no Nazo,https://myanimelist.net/anime/48426/Kitarou_Tanjou__Gegege_no_Nazo,7.66,"Comedy, Supernatural, Mythology, Shounen",1,Premiered season not found,Toei Animation,Movie,Manga
1361,Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,https://myanimelist.net/anime/48791/Luo_Xiao_Hei_Zhan_Ji__Zhongsheng_Zhi_Men,7.66,"Comedy, Supernatural",12,Premiered season not found,HMCH,ONA,Source not found
1362,Mousou Dairinin,https://myanimelist.net/anime/323/Mousou_Dairinin,7.66,"Avant Garde, Award Winning, Drama, Mystery, Supernatural, Suspense, Adult Cast, Detective, Psychological",13,Winter 2004,Madhouse,TV,Source not found
1363,Oniichan wa Oshimai!,https://myanimelist.net/anime/51678/Oniichan_wa_Oshimai,7.66,"Comedy, CGDCT, Magical Sex Shift, School, Shounen",12,Winter 2023,Studio Bind,TV,Manga
1364,Pokemon Movie 01: Mewtwo no Gyakushuu,https://myanimelist.net/anime/528/Pokemon_Movie_01__Mewtwo_no_Gyakushuu,7.66,"Action, Adventure, Award Winning, Comedy, Fantasy, Kids",1,Premiered season not found,OLM,Movie,Source not found
1365,Rurouni Kenshin DVD-BOX Special Ending,https://myanimelist.net/anime/6591/Rurouni_Kenshin_DVD-BOX_Special_Ending,7.66,"Romance, Historical",1,Premiered season not found,Studio Deen,Special,Manga
1366,Seto no Hanayome,https://myanimelist.net/anime/2104/Seto_no_Hanayome,7.66,"Comedy, Romance, Supernatural, Organized Crime, Parody, School, Shounen",26,Spring 2007,Gonzo,TV,Manga
1367,Shoujo Kakumei Utena: Adolescence Mokushiroku,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku,7.66,"Avant Garde, Drama, Fantasy, Girls Love, Mahou Shoujo, School",1,Premiered season not found,J.C.Staff,Movie,Source not found
1368,Shoujo☆Kageki Revue Starlight,https://myanimelist.net/anime/35503/Shoujo%E2%98%86Kageki_Revue_Starlight,7.66,"Drama, Music, Performing Arts, School",12,Summer 2018,Kinema Citrus,TV,Source not found
1369,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,7.66,"Drama, Fantasy, Romance, Sci-Fi",12,Spring 2017,Satelight,TV,Light novel
1370,Tenkuu no Escaflowne,https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne,7.66,"Action, Adventure, Fantasy, Romance, Suspense, Isekai, Love Polygon, Mecha, Psychological",26,Spring 1996,Sunrise,TV,Source not found
1371,Toaru Kagaku no Railgun,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun,7.66,"Action, Fantasy, Sci-Fi, Super Power",24,Fall 2009,J.C.Staff,TV,Manga
1372,ACCA: 13-ku Kansatsu-ka,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka,7.66,"Drama, Mystery, Adult Cast, Detective, Seinen",12,Winter 2017,Madhouse,TV,Manga
1373,Akebi-chan no Sailor-fuku,https://myanimelist.net/anime/48553/Akebi-chan_no_Sailor-fuku,7.66,"Slice of Life, CGDCT, School, Seinen",12,Winter 2022,CloverWorks,TV,Web manga
1374,Aoi Bungaku Series,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series,7.66,"Drama, Suspense, Historical, Psychological",12,Fall 2009,Madhouse,TV,Source not found
1375,Bai Yao Pu 3rd Season,https://myanimelist.net/anime/50537/Bai_Yao_Pu_3rd_Season,7.66,"Adventure, Fantasy, Mystery, Supernatural, Historical",12,Premiered season not found,CMC Media,ONA,Source not found
1376,Binbougami ga!,https://myanimelist.net/anime/13535/Binbougami_ga,7.66,"Comedy, Supernatural, Gag Humor, Parody, Shounen",13,Summer 2012,Sunrise,TV,Manga
1377,Bungou Stray Dogs: Hitori Ayumu,https://myanimelist.net/anime/33071/Bungou_Stray_Dogs__Hitori_Ayumu,7.66,"Action, Mystery, Adult Cast, Detective, Organized Crime, Super Power, Seinen",1,Premiered season not found,Bones,OVA,Manga
1378,Cardcaptor Sakura: Clear Card-hen,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,7.66,"Adventure, Comedy, Romance, Mahou Shoujo, Shoujo",22,Winter 2018,Madhouse,TV,Manga
1379,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,https://myanimelist.net/anime/30191/Durararax2_Shou__Watashi_no_Kokoro_wa_Nabe_Moyou,7.66,"Action, Mystery, Supernatural",1,Premiered season not found,Shuka,Special,Light novel
1380,Free! Movie 2: Timeless Medley - Yakusoku,https://myanimelist.net/anime/35191/Free_Movie_2__Timeless_Medley_-_Yakusoku,7.66,"Sports, School",1,Premiered season not found,Kyoto Animation,Movie,Source not found
1381,Gokinjo Monogatari,https://myanimelist.net/anime/852/Gokinjo_Monogatari,7.66,"Comedy, Drama, Romance, Visual Arts, Shoujo",50,Fall 1995,Toei Animation,TV,Manga
1382,Hayate no Gotoku!!,https://myanimelist.net/anime/4192/Hayate_no_Gotoku,7.66,"Action, Comedy, Romance, Harem, Parody, Shounen",25,Spring 2009,J.C.Staff,TV,Manga
1383,Initial D Battle Stage 2,https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2,7.66,"Action, Drama, Racing, Seinen",1,Premiered season not found,A.C.G.T.,OVA,Manga
1384,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,https://myanimelist.net/anime/55973/30-sai_made_Doutei_dato_Mahoutsukai_ni_Nareru_Rashii,7.65,"Boys Love, Comedy, Supernatural, Adult Cast, Workplace",12,Winter 2024,Satelight,TV,Manga
1385,Ansatsu Kyoushitsu: Kagaijugyou-hen,https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu__Kagaijugyou-hen,7.65,"Action, Comedy, School, Shounen",8,Premiered season not found,Lerche,ONA,Manga
1386,Arslan Senki (TV),https://myanimelist.net/anime/28249/Arslan_Senki_TV,7.65,"Action, Adventure, Drama, Fantasy, Historical, Military, Shounen",25,Spring 2015,SANZIGEN,TV,Manga
1387,Bokura wa Minna Kawai-sou,https://myanimelist.net/anime/21405/Bokura_wa_Minna_Kawai-sou,7.65,"Slice of Life, Love Status Quo, School, Seinen",12,Spring 2014,Brain's Base,TV,Manga
1388,Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,https://myanimelist.net/anime/48780/Dakaretai_Otoko_1-i_ni_Odosarete_Imasu_Movie__Spain-hen,7.65,"Boys Love, Comedy, Drama, Adult Cast, Showbiz",1,Premiered season not found,CloverWorks,Movie,Manga
1389,Dekiru Neko wa Kyou mo Yuuutsu,https://myanimelist.net/anime/51916/Dekiru_Neko_wa_Kyou_mo_Yuuutsu,7.65,"Comedy, Adult Cast, Anthropomorphic",13,Summer 2023,GoHands,TV,Web manga
1390,Doupo Cangqiong 2nd Season,https://myanimelist.net/anime/37176/Doupo_Cangqiong_2nd_Season,7.65,"Action, Adventure, Fantasy, Romance, Historical, Martial Arts, Mythology",12,Premiered season not found,Motion Magic,ONA,Source not found
1391,Doupo Cangqiong Specials,https://myanimelist.net/anime/36561/Doupo_Cangqiong_Specials,7.65,"Action, Adventure, Fantasy, Mythology",2,Premiered season not found,Motion Magic,ONA,Source not found
1392,Doupo Cangqiong: Yuanqi,https://myanimelist.net/anime/51038/Doupo_Cangqiong__Yuanqi,7.65,"Action, Adventure, Fantasy, Romance, Martial Arts",3,Premiered season not found,Motion Magic,ONA,Source not found
1393,Evangelion Movie 3: Q,https://myanimelist.net/anime/3785/Evangelion_Movie_3__Q,7.65,"Action, Award Winning, Drama, Sci-Fi, Suspense, Mecha, Psychological",1,Premiered season not found,Khara,Movie,Source not found
1394,Fairy Tail (2014),https://myanimelist.net/anime/22043/Fairy_Tail_2014,7.65,"Action, Adventure, Fantasy, Shounen",102,Spring 2014,A-1 Pictures,TV,Manga
